player,team,batting_style,bowling_style,player_role
Azmatullah Omarzai,Afghanistan,Right Handed,Right-arm medium-fast,All-rounder
Fazalhaq Farooqi,Afghanistan,Right Handed,Left-arm medium-fast,Bowler
Gulbadin Naib,Afghanistan,Right Handed,Right-arm medium-fast,All-rounder
Hazratullah,Afghanistan,Left Handed,Slow left-arm orthodox,Opening Batsman
Ibrahim Zadran,Afghanistan,Right Handed,Right-arm medium-fast,Opening Batsman
Karim Janat,Afghanistan,Right Handed,Right arm medium,All-rounder
Mohammad Nabi,Afghanistan,Right Handed,Right-arm offbreak,All-rounder
Mujeeb Ur Rahman,Afghanistan,Right Handed,Right-arm offbreak,Bowler
Najibullah Zadran,Afghanistan,Left Handed,Right-arm offbreak,Batsman
Nangeyalia Kharote,Afghanistan,Left Handed,Left-arm orthodox,All-rounder
Naveen-ul-Haq,Afghanistan,Right Handed,Right-arm medium-fast,Bowler
Noor Ahmad,Afghanistan,Right Handed,Left-arm wrist-spin,Bowler
Rahmanullah Gurbaz,Afghanistan,Right Handed,Right arm medium,Wicketkeeper-Batsman
Rashid Khan,Afghanistan,Right Handed,Leg break googly,Bowling All-rounder
A Zampa,Australia,Right Handed,Leg break googly,Bowler
AC Agar,Australia,Left Handed,Slow left-arm orthodox,Bowler
DA Warner,Australia,Left Handed,Right-arm leg-break,Opening Batsman
GJ Maxwell,Australia,Right Handed,Right Arm Off break,Batting All-rounder
JR Hazlewood,Australia,Left Handed,Right-arm medium-fast,Bowler
MA Starc,Australia,Left Handed,Left-arm fast,Bowler
MP Stoinis,Australia,Right Handed,Right-arm medium,Batting All-rounder
MR Marsh,Australia,Right Handed,Right-arm medium,All-rounder
MS Wade,Australia,Left Handed,Right arm medium,Wicketkeeper-Batsman
NT Ellis,Australia,Right Handed,Right-arm medium-fast,Bowler
PJ Cummins,Australia,Right Handed,Right-arm fast,Bowler
TH David,Australia,Right Handed,Right-arm offbreak,Middle Order Batsman
TM Head,Australia,Left Handed,Right-arm offbreak,Wicketkeeper-Batsman
Jaker Ali,Bangladesh,Right Handed,Nan,Wicketkeeper-Batsman
Liton Das,Bangladesh,Right Handed,Right-arm offbreak,Wicketkeeper-Batsman
Mahedi Hasan,Bangladesh,Right Handed,Right-arm offbreak,All-rounder
Mahmudullah,Bangladesh,Right Handed,Right-arm offbreak,All-rounder
Mustafizur Rahman,Bangladesh,Left Handed,Left-arm medium-fast,Bowler
Nazmul Hossain Shanto,Bangladesh,Left Handed,Right-arm offbreak,Top Order Batsman
Rishad Hossain,Bangladesh,Right Handed,Leg break googly,All-rounder
Shakib Al Hasan,Bangladesh,Left Handed,Slow left-arm orthodox,All-rounder
Soumya Sarkar,Bangladesh,Left Handed,Right-arm medium,Batting All-rounder
Tanzid Hasan,Bangladesh,Left Handed,Nan,Opening Batsman
Tanzim Hasan Sakib,Bangladesh,Right Handed,Right-arm medium-fast,Bowling All-rounder
Taskin Ahmed,Bangladesh,Left Handed,Right-arm fast,Bowler
Towhid Hridoy,Bangladesh,Right Handed,Right-arm offbreak,Top Order Batsman
A Johnson,Canada,Right Handed,Right arm fast,Bowler
D Heyliger,Canada,Right Handed,Right-arm medium,All-rounder
DS Bajwa,Canada,Right Handed,Right-arm offbreak,All-rounder
JOA Gordon,Canada,Right Handed,Right-arm medium,Bowler
Junaid Siddiqui,Canada,Right Handed,Right-arm medium-fast,Bowler
Kaleem Sana,Canada,Left Handed,Right-arm medium-fast,Bowler
N Dutta,Canada,Right Handed,Right-arm medium-fast,Bowler
NR Kirton,Canada,Right Handed,Right-arm offbreak,Batsman
NS Dhaliwal,Canada,Right Handed,Right-arm offbreak,Batsman
Pargat Singh,Canada,Right Handed,Right-arm medium,Batsman
Ravinderpal Singh,Canada,Right Handed,Right-arm medium-fast,Batsman
S Movva,Canada,Right Handed,Right-arm medium-fast,Wicketkeeper-Batsman
Saad Bin Zafar,Canada,Left Handed,Slow left-arm orthodox,Bowler
AU Rashid,England,Right Handed,Leg break,Bowler
CJ Jordan,England,Right Handed,Right-arm medium-fast,Bowler
HC Brook,England,Right Handed,Right-arm medium,Batsman
JC Archer,England,Right Handed,Right-arm fast,Bowler
JC Buttler,England,Right Handed,Nan,Wicketkeeper-Batsman
JM Bairstow,England,Right Handed,Right arm medium,Wicketkeeper-Batsman
LS Livingstone,England,Right Handed,Right-arm offbreak,Batting All-rounder
MA Wood,England,Right Handed,Right-arm fast,Bowler
MM Ali,England,Left Handed,Right-arm offbreak,Batting All-rounder
PD Salt,England,Right Handed,Right-arm offbreak,Wicketkeeper-Batsman
RJW Topley,England,Right Handed,Left-arm medium-fast,Bowler
SM Curran,England,Left Handed,Left-arm medium-fast,All-rounder
WG Jacks,England,Right Handed,Right-arm offbreak,Batting All-rounder
AR Patel,India,Left Handed,Slow left-arm orthodox,All-rounder
Arshdeep Singh,India,Left Handed,Left-arm medium-fast,Bowler
HH Pandya,India,Right Handed,Right-arm medium-fast,All-rounder
JJ Bumrah,India,Right Handed,Right-arm fast,Bowler
Kuldeep Yadav,India,Left Handed,Left-arm wrist-spin,Bowler
Mohammed Siraj,India,Right Handed,Right-arm fast,Bowler
RA Jadeja,India,Left Handed,Slow left-arm orthodox,All-rounder
RG Sharma,India,Right Handed,Right-arm offbreak,Opening Batsman
RR Pant,India,Left Handed,Nan,Wicketkeeper-Batsman
S Dube,India,Left Handed,Right-arm medium,All-rounder
SA Yadav,India,Right Handed,Right arm medium,Batsman
V Kohli,India,Right Handed,Right-arm medium,Top Order Batsman
A Balbirnie,Ireland,Right Handed,Right-arm offbreak,Opening Batsman
B White,Ireland,Right Handed,Leg break,Bowler
BJ McCarthy,Ireland,Right Handed,Right-arm medium-fast,Bowler
C Campher,Ireland,Right Handed,Right Arm Fast,All-rounder
CA Young,Ireland,Right Handed,Right-arm medium-fast,Bowler
GH Dockrell,Ireland,Right Handed,Slow left-arm orthodox,All-rounder
GJ Delany,Ireland,Right Handed,Leg break googly,Batting All-rounder
HT Tector,Ireland,Right Handed,Right-arm offbreak,Midlle Order Batsman
J Little,Ireland,Right Handed,Left-arm medium-fast,Bowler
L Tucker,Ireland,Right Handed,Nan,Wicketkeeper-Batsman
MR Adair,Ireland,Right Handed,Right-arm medium-fast,Bowling All-rounder
PR Stirling,Ireland,Right Handed,Right-arm offbreak,Opening Batsman
B Shikongo,Namibia,Right Handed,Right-arm medium-fast,Bowler
BM Scholtz,Namibia,Right Handed,Left-arm orthodox,Bowler
D Wiese,Namibia,Right Handed,Right-arm medium-fast,All-rounder
JJ Smit,Namibia,Left Handed,Right-arm medium-fast,All-rounder
JN Frylinck,Namibia,Right Handed,Right-arm medium-fast,All-rounder
JP Kotze,Namibia,Left Handed,Nan,Wicketkeeper-Batsman
JT Brassell,Namibia,Left Handed,Right-arm medium,Bowler
M van Lingen,Namibia,Right Handed,Right-arm medium,All-rounder
MB Kruger,Namibia,Right Handed,Right-arm medium-fast,All-rounder
MG Erasmus,Namibia,Right Handed,Right-arm offbreak,All-rounder
N Davin,Namibia,Right Handed,Right-arm medium,Batsman
R Trumpelmann,Namibia,Left Handed,Left-arm fast,Bowler
T Lungameni,Namibia,Right Handed,Left-arm medium-fast,Bowler
ZE Green,Namibia,Right Handed,Nan,Batsman
A Bohara,Nepal,Right Handed,Right-arm offbreak,All-rounder
Aasif Sheikh,Nepal,Right Handed,Nan,Wicketkeeper-Batsman
AK Sah,Nepal,Right Handed,Nan,Batsman
DS Airee,Nepal,Right Handed,Right-arm offbreak,Middle Order Batsman
Gulsan Jha,Nepal,Left Handed,Right Arm Medium Seam,Bowler
K Bhurtel,Nepal,Right Handed,Right-arm offbreak,Batsman
Karan KC,Nepal,Right Handed,Right-arm medium-fast,All-rounder
Kushal Malla,Nepal,Left Handed,Left-arm orthodox,All-rounder
RK Paudel,Nepal,Right Handed,Leg break,Batsman
S Dhakal,Nepal,Left Handed,Slow left-arm orthodox,Bowler
S Jora,Nepal,Right Handed,Nan,Batsman
S Lamichhane,Nepal,Right Handed,Leg break,Bowler
Sompal Kami,Nepal,Right Handed,Right-arm medium-fast,All-rounder
A Dutt,Netherlands,Left Handed,Right-arm offbreak,All-rounder
AT Nidamanuru,Netherlands,Right Handed,Nan,Batsman
BFW de Leede,Netherlands,Right Handed,Right-arm medium,All-rounder
LV van Beek,Netherlands,Right Handed,Right-arm medium-fast,All-rounder
M Levitt,Netherlands,Right Handed,Nan,Batsman
MP O'Dowd,Netherlands,Right Handed,Nan,Opening Batsman
PA van Meekeren,Netherlands,Right Handed,Right-arm medium-fast,Bowler
SA Edwards,Netherlands,Right Handed,Nan,Wicketkeeper-Batsman
SA Engelbrecht,Netherlands,Right Handed,Right-arm offbreak,All-rounder
TJG Pringle,Netherlands,Right Handed,Leg break,All-rounder
Vikramjit Singh,Netherlands,Left Handed,Right-arm offbreak,Opening Batsman
VJ Kingma,Netherlands,Right Handed,Right-arm medium,Bowler
DJ Mitchell,New Zealand,Right Handed,Right-arm medium,Batting All-rounder
DP Conway,New Zealand,Left Handed,Right-arm medium,Wicketkeeper-Batsman
FH Allen,New Zealand,Right Handed,Nan,Top Order Batsman
GD Phillips,New Zealand,Right Handed,Right-arm offbreak,All-rounder
IS Sodhi,New Zealand,Right Handed,Leg break,Bowler
JDS Neesham,New Zealand,Left Handed,Right-arm medium-fast,All-rounder
KS Williamson,New Zealand,Right Handed,Right-arm offbreak,Batsman
LH Ferguson,New Zealand,Right Handed,Right-arm fast,Bowler
MG Bracewell,New Zealand,Left Handed,Left-arm orthodox,Batting All-rounder
MJ Henry,New Zealand,Right Handed,Right-arm medium-fast,Bowler
MJ Santner,New Zealand,Left Handed,Slow left-arm orthodox,Bowling All-rounder
MS Chapman,New Zealand,Left Handed,Slow left-arm orthodox,Batsman
R Ravindra,New Zealand,Left Handed,Slow left-arm orthodox,Batting All-rounder
TA Boult,New Zealand,Right Handed,Left-arm medium-fast,Bowler
TG Southee,New Zealand,Right Handed,Right-arm medium-fast,Bowler
Aqib Ilyas,Oman,Right Handed,Right-arm offbreak,All-rounder
Ayan Khan,Oman,Left Handed,Slow left-arm orthodox,All-rounder
Bilal Khan,Oman,Right Handed,Left-arm medium-fast,Bowler
Fayyaz Butt,Oman,Nan,Nan,Bowler
Kaleemullah,Oman,Right Handed,Right-arm medium-fast,Bowler
KH Prajapati,Oman,Right Handed,Right-arm offbreak,Batsman
Khalid Kail,Oman,Right Handed,Right-arm offbreak,All-rounder
Mehran Khan,Oman,Right Handed,Right-arm medium-fast,Bowler
Mohammad Nadeem,Oman,Left Handed,Slow left-arm orthodox,All-rounder
Naseem Khushi,Oman,Right Handed,Nan,Wicketkeeper-Batsman
PS Athavale,Oman,Right Handed,Nan,Wicketkeeper-Batsman
Rafiullah,Oman,Right Handed,Right-arm medium-fast,All-rounder
Shakeel Ahmed,Oman,Left Handed,Nan,Batsman
Shoaib Khan,Oman,Right Handed,Right-arm medium,Bowler
Zeeshan Maqsood,Oman,Left Handed,Slow left-arm orthodox,All-rounder
Abbas Afridi,Pakistan,Right Handed,Right-arm fast,Bowler
Azam Khan,Pakistan,Right Handed,Nan,Wicketkeeper-Batsman
Babar Azam,Pakistan,Right Handed,Right-arm offbreak,Batsman
Fakhar Zaman,Pakistan,Left Handed,Nan,Batsman
Haris Rauf,Pakistan,Right Handed,Right-arm fast,Bowler
Iftikhar Ahmed,Pakistan,Right Handed,Right-arm offbreak,Middle Order Batsman
Imad Wasim,Pakistan,Left Handed,Slow left-arm orthodox,All-rounder
Mohammad Amir,Pakistan,Left Handed,Left-arm fast,Bowler
Mohammad Rizwan,Pakistan,Right Handed,Nan,Wicketkeeper-Batsman
Naseem Shah,Pakistan,Right Handed,Right-arm fast,Bowler
Saim Ayub,Pakistan,Left Handed,Right-arm offbreak,Opening Batsman
Shadab Khan,Pakistan,Right Handed,Leg break,All-rounder
Shaheen Shah Afridi,Pakistan,Left Handed,Left-arm fast,Bowler
Usman Khan,Pakistan,Right Handed,Nan,Batsman
A Nao,Papua New Guinea,Right Handed,Right-arm medium-fast,Bowler
A Vala,Papua New Guinea,Right Handed,Right-arm offbreak,All-rounder
CA Soper,Papua New Guinea,Right Handed,Right Arm Medium Seam,Bowler
CJA Amini,Papua New Guinea,Left Handed,Leg break,All-rounder
H Hiri,Papua New Guinea,Right Handed,Right Arm Off Spin,All-rounder
J Kariko,Papua New Guinea,Left Handed,Slow left-arm orthodox,Bowler
K Doriga,Papua New Guinea,Right Handed,Nan,Wicketkeeper-Batsman
KV Morea,Papua New Guinea,Right Handed,Right-arm medium-fast,Bowler
L Siaka,Papua New Guinea,Right Handed,Right-arm medium,All-rounder
N Vanua,Papua New Guinea,Right Handed,Right-arm medium-fast,All-rounder
S Bau,Papua New Guinea,Left Handed,Nan,Batsman
SI Kamea,Papua New Guinea,Right Handed,Right-arm medium-fast,Bowler
TP Ura,Papua New Guinea,Right Handed,Nan,Batsman
BJ Currie,Scotland,Left Handed,Right-arm medium-fast,Nan
BJ McMullen,Scotland,Right Handed,Right-arm medium-fast,All-rounder
BTJ Wheal,Scotland,Right Handed,Right-arm pace,Bowler
CB Sole,Scotland,Right Handed,Right-arm fast,Bowler
CN Greaves,Scotland,Right Handed,Leg break,All-rounder
HG Munsey,Scotland,Left Handed,Nan,Opening Batsman
MA Jones,Scotland,Right Handed,Nan,Batsman
MA Leask,Scotland,Right Handed,Right-arm offbreak,All-rounder
MH Cross,Scotland,Right Handed,Nan,Wicketkeeper-Batsman
MRJ Watt,Scotland,Left Handed,Slow left-arm orthodox,Bowler
RD Berrington,Scotland,Right Handed,Right-arm medium-fast,Batsman
SM Sharif,Scotland,Right Handed,Right-arm medium-fast,Bowler
A Nortje,South Africa,Right Handed,Right-arm fast,Bowler
AK Markram,South Africa,Right Handed,Right-arm offbreak,All-rounder
DA Miller,South Africa,Left Handed,Right-arm offbreak,Middle Order Batsman
H Klaasen,South Africa,Right Handed,Nan,Wicketkeeper-Batsman
K Rabada,South Africa,Left Handed,Right-arm fast,Bowler
KA Maharaj,South Africa,Left Handed,Slow left-arm orthodox,Bowler
M Jansen,South Africa,Right Handed,Left-arm fast,Bowling All-rounder
OEG Baartman,South Africa,Right Handed,Right-arm fast,Bowler
Q de Kock,South Africa,Left Handed,Nan,Wicketkeeper-Batsman
RR Hendricks,South Africa,Right Handed,Right-arm offbreak,Opening Batsman
T Shamsi,South Africa,Right Handed,Left-arm wrist-spin,Bowler
T Stubbs,South Africa,Right Handed,Nan,Batsman
AD Mathews,Sri Lanka,Right Handed,Right-arm medium-fast,All-rounder
BKG Mendis,Sri Lanka,Right Handed,Leg break,Wicketkeeper-Batsman
DM de Silva,Sri Lanka,Right Handed,Right-arm offbreak,All-rounder
KIC Asalanka,Sri Lanka,Left Handed,Right-arm offbreak,Batsman
M Pathirana,Sri Lanka,Right Handed,Right-arm fast,Bowler
M Theekshana,Sri Lanka,Right Handed,Right-arm offbreak,Bowler
MD Shanaka,Sri Lanka,Right Handed,Right-arm medium-fast,All-rounder
N Thushara,Sri Lanka,Left Handed,Right-arm medium-fast,Bowler
P Nissanka,Sri Lanka,Right Handed,Nan,Opening Batsman
PHKD Mendis,Sri Lanka,Left Handed,Nan,Batsman
PWH de Silva,Sri Lanka,Right Handed,Leg break,All-rounder
S Samarawickrama,Sri Lanka,Right Handed,Nan,Batsman
AR Ramjani,Uganda,Right Handed,Left-arm orthodox,Bowler
B Masaba,Uganda,Right Handed,Right-arm offbreak,All-rounder
Bilal Hassun,Uganda,Right Handed,Right-arm medium-fast,Bowler
C Kyewuta,Uganda,Right Handed,Right arm medium,Bowler
DM Nakrani,Uganda,Left Handed,Left-arm medium,All-rounder
